Age,Gender,Height,Weight,BMI,Activity_Level
21,Male,163,55,Normal weight: BMI 18.5 - 24.9;Overweight: BMI 25 - 29.9,Lightly active (light exercise/sports 1-3 days per week)
21,Male,163,68,Overweight: BMI 25 - 29.9,Lightly active (light exercise/sports 1-3 days per week)
23,Male,176.78,94,Obese: BMI >= 30),Lightly active (light exercise/sports 1-3 days per week)
21,Male,165,65,Normal weight: BMI 18.5 - 24.9,Moderately Active (moderate exercise/sports 3-5 days per week)
22,Male,178,80,Overweight: BMI 25 - 29.9,Very Active  (hard exercise/sports 6-7 days per week)
25,Female,158,66,Overweight: BMI 25 - 29.9,Moderately Active (moderate exercise/sports 3-5 days per week)
23,Male,177,81,Overweight: BMI 25 - 29.9,Moderately Active (moderate exercise/sports 3-5 days per week)
22,Male,167,81,Overweight: BMI 25 - 29.9,Lightly active (light exercise/sports 1-3 days per week)
23,Female,162,54,Normal weight (18.5 - 24.9),Sedentary  (little or no exercise)
21,Male,167,78,Overweight: (25 - 29.9),Sedentary  (little or no exercise)
22,Female,155,53,Normal weight (18.5 - 24.9),Sedentary  (little or no exercise)
22,Male,1.68,88,Obese ( >= 30),Lightly active (light exercise/sports 1-3 days per week)
21,Female,162,64,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
21,Female,160,50,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
30,Male,167,70,Overweight: (25 - 29.9),Sedentary  (little or no exercise)
22,Male,160,60,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
23,Female,157,58,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
22,Female,155,48,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
25,Male,167,54,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
22,Male,168,56,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
22,Male,168,95,Overweight: (25 - 29.9),Lightly active (light exercise/sports 1-3 days per week)
21,Male,180,76,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
22,Female,165,65,Overweight: (25 - 29.9),Lightly active (light exercise/sports 1-3 days per week)
22,Male,168,59,Normal weight (18.5 - 24.9),Sedentary  (little or no exercise)
20,Female,152.4,40,Underweight ( < 18.5),Sedentary  (little or no exercise)
34,Male,153,75,Normal weight (18.5 - 24.9),Sedentary  (little or no exercise)
23,Male,168,56.4,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
23,Male,162,70,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
23,Male,165,54,Underweight ( < 18.5),Sedentary  (little or no exercise)
21,Female,150,45,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
20,Male,164,59,Normal weight (18.5 - 24.9),Lightly active (light exercise/sports 1-3 days per week)
20,Male,164,50,Normal weight (18.5 - 24.9),Moderately Active (moderate exercise/sports 3-5 days per week)
