Age,Gender,Height,Weight,Activity_Level
21,Male,163,55,Lightly active (light exercise/sports 1-3 days per week)
21,Male,163,68,Lightly active (light exercise/sports 1-3 days per week)
23,Male,176.78,94,Lightly active (light exercise/sports 1-3 days per week)
21,Male,165,65,Moderately Active (moderate exercise/sports 3-5 days per week)
22,Male,178,80,Very Active  (hard exercise/sports 6-7 days per week)
25,Female,158,66,Moderately Active (moderate exercise/sports 3-5 days per week)
23,Male,177,81,Moderately Active (moderate exercise/sports 3-5 days per week)
22,Male,167,81,Lightly active (light exercise/sports 1-3 days per week)
23,Female,162,54,Sedentary  (little or no exercise)
21,Male,167,78,Sedentary  (little or no exercise)
22,Female,155,53,Sedentary  (little or no exercise)
22,Male,168,88,Lightly active (light exercise/sports 1-3 days per week)
21,Female,162,64,Lightly active (light exercise/sports 1-3 days per week)
21,Female,160,50,Lightly active (light exercise/sports 1-3 days per week)
30,Male,167,70,Sedentary  (little or no exercise)
22,Male,160,60,Lightly active (light exercise/sports 1-3 days per week)
23,Female,157,58,Lightly active (light exercise/sports 1-3 days per week)
22,Female,155,48,Lightly active (light exercise/sports 1-3 days per week)
25,Male,167,54,Lightly active (light exercise/sports 1-3 days per week)
22,Male,168,56,Moderately Active (moderate exercise/sports 3-5 days per week)
22,Male,168,95,Lightly active (light exercise/sports 1-3 days per week)
21,Male,180,76,Lightly active (light exercise/sports 1-3 days per week)
22,Female,165,65,Lightly active (light exercise/sports 1-3 days per week)
22,Male,168,59,Sedentary  (little or no exercise)
20,Female,152.4,40,Sedentary  (little or no exercise)
34,Male,153,75,Sedentary  (little or no exercise)
23,Male,168,56.4,Lightly active (light exercise/sports 1-3 days per week)
23,Male,162,70,Moderately Active (moderate exercise/sports 3-5 days per week)
23,Male,165,54,Sedentary  (little or no exercise)
21,Female,150,45,Lightly active (light exercise/sports 1-3 days per week)
20,Male,164,59,Lightly active (light exercise/sports 1-3 days per week)
20,Male,164,50,Moderately Active (moderate exercise/sports 3-5 days per week)
21,Female,156,68,Lightly active (light exercise/sports 1-3 days per week)
22,Male,1.78,85,Very Active  (hard exercise/sports 6-7 days per week)
23,Male,172,140,Lightly active (light exercise/sports 1-3 days per week)
22,Female,154,65,Lightly active (light exercise/sports 1-3 days per week)
17,Female,158,47,Lightly active (light exercise/sports 1-3 days per week)
28,Male,170,70,Moderately Active (moderate exercise/sports 3-5 days per week)
18,Female,153,45,Sedentary  (little or no exercise)
20,Male,167,80,Sedentary  (little or no exercise)
25,Male,180,54,Sedentary  (little or no exercise)
27,Female,167,70,Sedentary  (little or no exercise)
24,Female,154,54,Moderately Active (moderate exercise/sports 3-5 days per week)
37,Female,152,61,Very Active  (hard exercise/sports 6-7 days per week)
18,Female,160,47,Sedentary  (little or no exercise)
16,Female,167,52,Lightly active (light exercise/sports 1-3 days per week)
19,Female,150,45,Moderately Active (moderate exercise/sports 3-5 days per week)
20,Female,154,59,Very Active  (hard exercise/sports 6-7 days per week)
21,Female,162,56,Moderately Active (moderate exercise/sports 3-5 days per week)
30,Female,157,75,Sedentary  (little or no exercise)
22,Male,173,72,Sedentary  (little or no exercise)
23,Male,163,76,Lightly active (light exercise/sports 1-3 days per week)
24,Male,175,90,Lightly active (light exercise/sports 1-3 days per week)
23,Male,172,81,Moderately Active (moderate exercise/sports 3-5 days per week)
22,Male,162,59,Moderately Active (moderate exercise/sports 3-5 days per week)
24,Male,176,62,Very Active  (hard exercise/sports 6-7 days per week)
23,Male,176,75,Lightly active (light exercise/sports 1-3 days per week)
22,Male,173,98,Sedentary  (little or no exercise)
23,Male,163,65,Moderately Active (moderate exercise/sports 3-5 days per week)
23,Male,156,56,Very Active  (hard exercise/sports 6-7 days per week)
21,Male,160,55,Very Active  (hard exercise/sports 6-7 days per week)
21,Male,169,62,Moderately Active (moderate exercise/sports 3-5 days per week)
22,Male,162,59,Moderately Active (moderate exercise/sports 3-5 days per week)
20,Male,153,57,Very Active  (hard exercise/sports 6-7 days per week)
23,Male,165,76,Lightly active (light exercise/sports 1-3 days per week)
20,Male,162,61,Extremely active (very hard exercise/sports or physical job)
26,Female,160,50,Moderately Active (moderate exercise/sports 3-5 days per week)
23,Male,167,73,Very Active  (hard exercise/sports 6-7 days per week)
20,Female,152,63,Sedentary  (little or no exercise)
23,Male,165,58,Very Active  (hard exercise/sports 6-7 days per week)
19,Female,152,70,Lightly active (light exercise/sports 1-3 days per week)
23,Female,162,71,Sedentary  (little or no exercise)
33,Female,154,61,Sedentary  (little or no exercise)
20,Female,172,63,Moderately Active (moderate exercise/sports 3-5 days per week)
23,Female,167,54,Sedentary  (little or no exercise)
26,Female,177,63,Moderately Active (moderate exercise/sports 3-5 days per week)
24,Female,167,75,Lightly active (light exercise/sports 1-3 days per week)
34,Female,157,52,Lightly active (light exercise/sports 1-3 days per week)
17,Female,164,56,Lightly active (light exercise/sports 1-3 days per week)
20,Female,170,63,Moderately Active (moderate exercise/sports 3-5 days per week)
23,Female,170,52,Sedentary  (little or no exercise)
